threshold,precision,recall,f1
0.01,0.1836734693877551,1,0.3103448275862069
0.015,0.1836734693877551,1,0.3103448275862069
0.02,0.1836734693877551,1,0.3103448275862069
0.025,0.18461538461538463,1,0.3116883116883117
0.03,0.18556701030927836,1,0.3130434782608696
0.035,0.18556701030927836,1,0.3130434782608696
0.04,0.5070422535211268,1,0.6728971962616822
0.045000000000000005,0.5625,1,0.72
0.05,0.6206896551724138,1,0.7659574468085107
0.055,0.6666666666666666,1,0.8
0.060000000000000005,0.6923076923076923,1,0.8181818181818181
0.065,0.7058823529411765,1,0.8275862068965517
0.06999999999999999,0.72,1,0.8372093023255813
0.075,0.72,1,0.8372093023255813
0.08,0.7346938775510204,1,0.8470588235294119
0.08499999999999999,0.7346938775510204,1,0.8470588235294119
0.09,0.7346938775510204,1,0.8470588235294119
0.095,0.7346938775510204,1,0.8470588235294119
0.09999999999999999,0.7346938775510204,1,0.8470588235294119
0.105,0.7346938775510204,1,0.8470588235294119
0.11,0.7346938775510204,1,0.8470588235294119
0.11499999999999999,0.7346938775510204,1,0.8470588235294119
0.12,0.7346938775510204,1,0.8470588235294119
0.125,0.7346938775510204,1,0.8470588235294119
0.13,0.75,1,0.8571428571428571
0.135,0.75,1,0.8571428571428571
0.14,0.75,1,0.8571428571428571
0.14500000000000002,0.75,1,0.8571428571428571
0.15000000000000002,0.75,1,0.8571428571428571
0.155,0.75,1,0.8571428571428571
0.16,0.75,1,0.8571428571428571
0.165,0.75,1,0.8571428571428571
0.17,0.75,1,0.8571428571428571
0.17500000000000002,0.75,1,0.8571428571428571
0.18000000000000002,0.75,1,0.8571428571428571
0.18500000000000003,0.75,1,0.8571428571428571
0.19,0.75,1,0.8571428571428571
0.195,0.7446808510638298,0.9722222222222222,0.8433734939759036
0.2,0.7446808510638298,0.9722222222222222,0.8433734939759036
0.20500000000000002,0.7446808510638298,0.9722222222222222,0.8433734939759036
0.21000000000000002,0.7446808510638298,0.9722222222222222,0.8433734939759036
0.21500000000000002,0.7446808510638298,0.9722222222222222,0.8433734939759036
0.22,0.7446808510638298,0.9722222222222222,0.8433734939759036
0.225,0.7446808510638298,0.9722222222222222,0.8433734939759036
0.23,0.7446808510638298,0.9722222222222222,0.8433734939759036
0.23500000000000001,0.7727272727272727,0.9444444444444444,0.85
0.24000000000000002,0.7727272727272727,0.9444444444444444,0.85
0.24500000000000002,0.7727272727272727,0.9444444444444444,0.85
0.25,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.255,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.26,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.265,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.27,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.275,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.28,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.28500000000000003,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.29000000000000004,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.29500000000000004,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.3,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.305,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.31,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.315,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.32,0.825,0.9166666666666666,0.8684210526315789
0.325,0.825,0.9166666666666666,0.8684210526315789
0.33,0.825,0.9166666666666666,0.8684210526315789
0.335,0.825,0.9166666666666666,0.8684210526315789
0.34,0.825,0.9166666666666666,0.8684210526315789
0.34500000000000003,0.825,0.9166666666666666,0.8684210526315789
0.35000000000000003,0.825,0.9166666666666666,0.8684210526315789
0.35500000000000004,0.825,0.9166666666666666,0.8684210526315789
0.36000000000000004,0.825,0.9166666666666666,0.8684210526315789
0.365,0.825,0.9166666666666666,0.8684210526315789
0.37,0.825,0.9166666666666666,0.8684210526315789
0.375,0.825,0.9166666666666666,0.8684210526315789
0.38,0.825,0.9166666666666666,0.8684210526315789
0.385,0.825,0.9166666666666666,0.8684210526315789
0.39,0.825,0.9166666666666666,0.8684210526315789
0.395,0.825,0.9166666666666666,0.8684210526315789
0.4,0.825,0.9166666666666666,0.8684210526315789
0.405,0.825,0.9166666666666666,0.8684210526315789
0.41000000000000003,0.825,0.9166666666666666,0.8684210526315789
0.41500000000000004,0.825,0.9166666666666666,0.8684210526315789
0.42000000000000004,0.825,0.9166666666666666,0.8684210526315789
0.42500000000000004,0.825,0.9166666666666666,0.8684210526315789
0.43,0.825,0.9166666666666666,0.8684210526315789
0.435,0.825,0.9166666666666666,0.8684210526315789
0.44,0.825,0.9166666666666666,0.8684210526315789
0.445,0.825,0.9166666666666666,0.8684210526315789
0.45,0.825,0.9166666666666666,0.8684210526315789
0.455,0.825,0.9166666666666666,0.8684210526315789
0.46,0.825,0.9166666666666666,0.8684210526315789
0.465,0.825,0.9166666666666666,0.8684210526315789
0.47000000000000003,0.825,0.9166666666666666,0.8684210526315789
0.47500000000000003,0.825,0.9166666666666666,0.8684210526315789
0.48000000000000004,0.825,0.9166666666666666,0.8684210526315789
0.48500000000000004,0.8205128205128205,0.8888888888888888,0.8533333333333333
0.49,0.8205128205128205,0.8888888888888888,0.8533333333333333
0.495,0.8205128205128205,0.8888888888888888,0.8533333333333333
0.5,0.8205128205128205,0.8888888888888888,0.8533333333333333
0.505,0.8205128205128205,0.8888888888888888,0.8533333333333333
0.51,0.8205128205128205,0.8888888888888888,0.8533333333333333
