threshold,precision,recall,f1
0.3,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.302,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.304,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.306,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.308,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.31,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.312,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.314,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.316,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.318,0.8048780487804879,0.9166666666666666,0.8571428571428571
0.32,0.825,0.9166666666666666,0.8684210526315789
0.322,0.825,0.9166666666666666,0.8684210526315789
0.324,0.825,0.9166666666666666,0.8684210526315789
0.326,0.825,0.9166666666666666,0.8684210526315789
0.328,0.825,0.9166666666666666,0.8684210526315789
0.32999999999999996,0.825,0.9166666666666666,0.8684210526315789
0.33199999999999996,0.825,0.9166666666666666,0.8684210526315789
0.33399999999999996,0.825,0.9166666666666666,0.8684210526315789
0.33599999999999997,0.825,0.9166666666666666,0.8684210526315789
0.33799999999999997,0.825,0.9166666666666666,0.8684210526315789
0.33999999999999997,0.825,0.9166666666666666,0.8684210526315789
0.34199999999999997,0.825,0.9166666666666666,0.8684210526315789
0.344,0.825,0.9166666666666666,0.8684210526315789
0.346,0.825,0.9166666666666666,0.8684210526315789
0.348,0.825,0.9166666666666666,0.8684210526315789
0.35,0.825,0.9166666666666666,0.8684210526315789
0.352,0.825,0.9166666666666666,0.8684210526315789
0.354,0.825,0.9166666666666666,0.8684210526315789
0.356,0.825,0.9166666666666666,0.8684210526315789
0.358,0.825,0.9166666666666666,0.8684210526315789
0.36,0.825,0.9166666666666666,0.8684210526315789
0.362,0.825,0.9166666666666666,0.8684210526315789
0.364,0.825,0.9166666666666666,0.8684210526315789
0.366,0.825,0.9166666666666666,0.8684210526315789
0.368,0.825,0.9166666666666666,0.8684210526315789
0.37,0.825,0.9166666666666666,0.8684210526315789
0.372,0.825,0.9166666666666666,0.8684210526315789
0.374,0.825,0.9166666666666666,0.8684210526315789
0.376,0.825,0.9166666666666666,0.8684210526315789
0.378,0.825,0.9166666666666666,0.8684210526315789
0.38,0.825,0.9166666666666666,0.8684210526315789
0.382,0.825,0.9166666666666666,0.8684210526315789
0.384,0.825,0.9166666666666666,0.8684210526315789
0.386,0.825,0.9166666666666666,0.8684210526315789
0.388,0.825,0.9166666666666666,0.8684210526315789
0.39,0.825,0.9166666666666666,0.8684210526315789
0.392,0.825,0.9166666666666666,0.8684210526315789
0.394,0.825,0.9166666666666666,0.8684210526315789
0.396,0.825,0.9166666666666666,0.8684210526315789
0.398,0.825,0.9166666666666666,0.8684210526315789
0.4,0.825,0.9166666666666666,0.8684210526315789
